,date,event,time,class_change
0,2018-04-05,入学式,,False
1,2018-04-05,学級懇談会(親),13:30,False
2,2018-04-06,"学級指導,健康診断",,True
3,2018-04-06,大学編入学・専攻科進学説明会,16:00,False
4,2018-04-09,開講,,False
5,2018-04-10,交通安全教育,IV限終了後,False
6,2018-04-10,尿検査,,False
7,2018-04-11,日本学生支援機構奨学生募集説明会,16:20,False
8,2018-04-13,TOEIC IP,15:00,
9,2018-04-16,健康診断,,
10,2018-04-16,尿検査(2回目),,
11,2018-04-16,クラブ登録,IV限終了後,
12,2018-04-20,尿検査(再検査のみ),,
13,2018-04-23,岐阜県奨学生募集説明会,16:40,
14,2018-04-25,MSリーダーズ,IV限終了後,
15,2018-04-25,評議会,MSリーダーズ後,
16,2018-04-27,【締切】選択科目受講取消願提出,,
17,2018-05-02,金曜授業,,True
18,2018-05-15,球技大会,,True
19,2018-05-16,サークル活動リーダー研修会,III限終了後,
20,2018-05-21,献血,,
21,2018-05-23,評議会,15:00,
22,2018-06-17,カラーコーディネーター検定試験,,
23,2018-06-20,壮行会,III限終了後,
24,2018-06-23,数検,,
25,2018-07-06,休校(高専大会準備),,True
26,2018-07-11,評議会,15:00,
27,2018-07-24,補講,,True
28,2018-07-25,補講,,True
29,2018-07-26,前期期末試験,,True
30,2018-07-27,前期期末試験,,True
31,2018-07-30,前期期末試験,,True
32,2018-07-31,前期期末試験,,True
33,2018-08-01,前期期末試験,,True
34,2018-08-02,前期期末試験,,True
35,2018-08-02,校長講話、大掃除、学級指導,試験終了後,True
36,2018-08-03,予備日,,True
37,2018-08-04,夏休み開始,,
38,2018-09-18,夏休み終了,,
39,2018-09-19,開講,,
40,2018-09-19,月曜授業,,True
41,2018-09-21,補講,,True
42,2018-09-27,補講,,True
43,2018-10-03,後期授業料免除追加募集説明会,III限終了後,
44,2018-10-10,球技大会,,True
45,2018-10-17,評議会,15:00,
46,2018-10-24,避難訓練,,
47,2018-10-25,金曜授業,,True
48,2018-10-26,高専祭準備,,True
49,2018-10-27,高専祭,,
50,2018-10-28,高専祭,,
51,2018-10-29,高専祭片付け,,True
52,2018-10-29,MSリーダーズ,片付け終了後,
53,2018-10-30,休講(高専祭振替),,True
54,2018-10-31,【締切】選択科目受講取消願提出,,
55,2018-11-01,学生会役員選挙公示,,
56,2018-11-07,補講,,True
57,2018-11-14,評議会,15:00,
58,2018-11-17,数検,,
59,2018-11-19,学生会役員選挙,,
60,2018-11-20,交通安全教育,IV限終了後,
61,2018-12-16,ECO検定,,
62,2018-12-19,専攻科入学予定者オリエンテーション,15:00,
63,2018-12-21,大掃除、学級指導,授業終了後,
64,2018-12-22,冬休み開始,,
65,2019-01-07,冬休み終了,,
66,2019-01-08,月曜授業,,True
67,2019-01-10,月曜授業,,True
68,2019-01-23,評議会,15:30,
69,2019-01-23,平成31年度授業料免除募集説明会,15:00,
70,2019-02-01,補講,,True
71,2019-02-04,後期期末試験,,True
72,2019-02-05,後期期末試験,,True
73,2019-02-06,後期期末試験,,True
74,2019-02-07,後期期末試験,,True
75,2019-02-08,後期期末試験,,True
76,2019-02-18,休講(入試採点),,True
77,2019-02-26,【締切】平成31年度研究生申込,,
78,2019-02-27,校長講話、学生会総会、大掃除、学級指導,授業終了後,
79,2019-02-28,春休み開始,,
80,2018-04-04,test,,
